User Input,Chatbot Response,Timestamp
i have rash,Hi there!,2024-12-01 18:22:57
"I have body aches, chills, and a high fever","It sounds like you might have the flu. The flu often comes with high fever, body aches, chills, cough, and fatigue.",2024-12-01 18:23:13
"I have body aches, chills, and a high fever","It sounds like you might have the flu. The flu often comes with high fever, body aches, chills, cough, and fatigue.",2024-12-01 18:23:43
I feel anxious,Greetings!,2024-12-01 18:31:43
I feel anxious,Hello!,2024-12-01 18:32:07
I don't know what I'm feeling.,"I'm sorry, I need more information. Could you please describe your symptoms in detail?",2024-12-01 18:32:19
I don't know what I'm feeling,"I'm sorry, I need more information. Could you please describe your symptoms in detail?",2024-12-01 18:32:23
What could these symptoms mean,Please provide more details about your symptoms. I'll do my best to guide you.,2024-12-01 18:32:41
What could these symptoms mean,"The more information you provide, the better I can assist you.",2024-12-01 18:46:06
My child complains of chest tightness,A healthcare provider can develop an asthma management plan tailored to your child's needs.,2024-12-01 18:46:57
